played_at,track_id,album_id,duration_ms
2025-12-22 14:19:05.445000+00:00,3jhyw60F61gc7nC4dblqtC,4pjiSoP1rvrhDRsD1Hey6o,148645
2025-12-22 14:16:05.727000+00:00,2oQDaT4wdj041BVQXEfFch,6O8vmVM7knwRuX5YolJTxs,226003
2025-12-22 14:08:35.662000+00:00,7nmvwosdapB8Bro5uIM7n2,2xpjgSvZVYjzdlWxeAJFy8,464266
2025-12-22 14:00:46.952000+00:00,0kqatfl1V116n4U2gKZQuV,22lrjYvBGWwOfZ535fJXlT,353360
2025-12-22 16:22:15.819000+00:00,1BKs3X4E6Oc0iM3BxnzyXQ,1AhiTTbdGAym3xzYflP3fa,158060
2025-12-22 14:30:35.853000+00:00,54u86CmMqGI1rRuULlTqaB,4Vy1Rn4htx3L0ojjaeePww,163200
2025-12-22 14:25:05.862000+00:00,7s8NIgpeKV2lMsjdX4RBcE,6EkCnMeO4zOURLKlTKbl39,127058
2025-12-22 14:21:44.590000+00:00,3jhyw60F61gc7nC4dblqtC,4pjiSoP1rvrhDRsD1Hey6o,148645
2025-12-22 14:19:05.445000+00:00,3jhyw60F61gc7nC4dblqtC,4pjiSoP1rvrhDRsD1Hey6o,148645
2025-12-22 14:16:05.727000+00:00,2oQDaT4wdj041BVQXEfFch,6O8vmVM7knwRuX5YolJTxs,226003
2025-12-22 14:08:35.662000+00:00,7nmvwosdapB8Bro5uIM7n2,2xpjgSvZVYjzdlWxeAJFy8,464266
2025-12-22 14:00:46.952000+00:00,0kqatfl1V116n4U2gKZQuV,22lrjYvBGWwOfZ535fJXlT,353360
2025-12-22 16:22:15.819000+00:00,1BKs3X4E6Oc0iM3BxnzyXQ,1AhiTTbdGAym3xzYflP3fa,158060
2025-12-22 14:30:35.853000+00:00,54u86CmMqGI1rRuULlTqaB,4Vy1Rn4htx3L0ojjaeePww,163200
2025-12-22 14:25:05.862000+00:00,7s8NIgpeKV2lMsjdX4RBcE,6EkCnMeO4zOURLKlTKbl39,127058
2025-12-22 14:21:44.590000+00:00,3jhyw60F61gc7nC4dblqtC,4pjiSoP1rvrhDRsD1Hey6o,148645
2025-12-22 14:19:05.445000+00:00,3jhyw60F61gc7nC4dblqtC,4pjiSoP1rvrhDRsD1Hey6o,148645
2025-12-22 14:16:05.727000+00:00,2oQDaT4wdj041BVQXEfFch,6O8vmVM7knwRuX5YolJTxs,226003
2025-12-22 14:08:35.662000+00:00,7nmvwosdapB8Bro5uIM7n2,2xpjgSvZVYjzdlWxeAJFy8,464266
2025-12-22 14:00:46.952000+00:00,0kqatfl1V116n4U2gKZQuV,22lrjYvBGWwOfZ535fJXlT,353360
2025-12-22 20:07:49.492000+00:00,15JINEqzVMv3SvJTAXAKED,47BiFcV59TQi2s9SkBo2pb,263373
2025-12-22 20:03:25.712000+00:00,5oO3drDxtziYU2H1X23ZIp,4UlGauD7ROb3YbVOFMgW5u,224000
